cohort_groupings,n_pairs,addRel_min,addRel_max,mtdna,cnu,age_k1_meanFunction,USA_flag_10_k1_meanFunction,USA_flag_10_polychorFunction_rho,USA_flag_10_polychorFunction_se,USA_flag_10_polychorFunction_chisq,USA_flag_10_polychorFunction_df,USA_flag_10_ml_polychorFunction
1819,3548,0.000439453125,0.000537109375,1,0,60.6481116121759,0.296364148816235,-0.0441848919820151,0.0207327282891042,0.00000800002089818008,0,-0.0441854548616029
1919,1049,0.000439453125,0.000537109375,1,0,65.3603431839848,0.280743565300286,-0.0480344740175479,0.0388760824500246,0.00000800000088929664,0,-0.0480350451804638
1719,245,0.000439453125,0.000537109375,0,0,70.7591836734694,0.157142857142857,-0.940038285248381,18.4236461855803,0.00000606934577263019,0,-0.977084955324049
1818,226643,0.000439453125,0.000537109375,0,0,56.586710008237,0.243189050364701,-0.0035492824102554,0.00279217671454819,0.00000799994450062513,0,-0.00354929277679821
1819,3278498,0.000439453125,0.000537109375,0,0,61.4080908833349,0.31002192921218,-0.028295048263983,0.000672087427497861,0.00000800192356109619,0,-0.0282951875228918
1919,8616801,0.000439453125,0.000537109375,0,0,64.8028461371478,0.345742996483064,-0.00156611761434105,0.000400869500570666,0.00000800192356109619,0,-0.00154910620383982
1819,82,0.000537109375,0.00087890625,1,0,55.8170731707317,0.268292682926829,0.010929341355679,0.140978752504245,0.0000079999998661151,0,0.0109201094953594
1919,2184,0.000537109375,0.00087890625,1,0,63.2694597069597,0.303571428571429,-0.0311085864533673,0.026207605222181,0.00000800000634626485,0,-0.0311088687590241
1818,16406,0.000537109375,0.00087890625,0,0,57.1679846120966,0.272127744023448,0.026723450339332,0.00991991197612807,0.00000800000270828605,0,0.0267234361536392
1819,438383,0.000537109375,0.00087890625,0,0,60.9186155018526,0.301269129633749,-0.0218048619115762,0.00185459741971604,0.00000800006091594696,0,-0.0218050058493804
1919,1290979,0.000537109375,0.00087890625,0,0,65.1250283699425,0.347995858589341,0.000103717897415161,0.00103363652505299,0.0118977483361959,0,0.00022529524353888
1719,4,0.00087890625,0.00107421875,1,0,78.5,0.5,0,0.555359771985357,0.00000799999800094042,0,-1.11022302462516e-16
1818,1374,0.00087890625,0.00107421875,1,0,55.6401018922853,0.223435225618632,0.00330309178599261,0.037075835487791,0.00000799999907030724,0,0.00331723795993767
1819,4789,0.00087890625,0.00107421875,1,0,56.568699102109,0.238880768427647,-0.0646309895701091,0.0194069704303818,0.00000800009729573503,0,-0.0646325154015753
1919,15826,0.00087890625,0.00107421875,1,0,66.3443700240111,0.342853532162265,-0.00155436579112998,0.0093733761296539,0.00000799998815637082,0,-0.00153689610038444
,2,0.00087890625,0.00107421875,1,0,43,0.5,,,,,
1718,144,0.00087890625,0.00107421875,0,0,64.4035087719298,0.112280701754386,-0.859249652638531,3.05930992125826,0.0000381264063094022,0,-0.95384574309099
1719,1331,0.00087890625,0.00107421875,0,0,66.6288504883546,0.343350864012021,-0.0385037123516291,0.0323144091988515,0.00000800000361778075,0,-0.0385040090825012
1818,821531,0.00087890625,0.00107421875,0,0,57.1681019414579,0.259272658394528,-0.0117373522649095,0.00143048614526373,0.00000799959525465965,0,-0.0117374142010251
1819,8711986,0.00087890625,0.00107421875,0,0,60.6227311705899,0.294473641851592,-0.0255000545975405,0.000419475728494765,0.00000800937414169312,0,-0.0255002530738933
1919,14630094,0.00087890625,0.00107421875,0,0,64.8002557727709,0.343601322363728,0.00060915595197005,0.00030816239715326,0.00000800192356109619,0,0.000617501013191524
,542,0.00087890625,0.00107421875,0,0,68.3284132841328,0.370848708487085,,,,,
1818,38,0.00107421875,0.0017578125,1,0,52.6533333333333,0.2,-0.125824429161578,0.246802765389954,0.0000080001707374322,0,-0.125831411733596
1819,3737,0.00107421875,0.0017578125,1,0,58.6999191156646,0.251280668643839,-0.0322867471231575,0.0216765487004351,0.00000800000998424366,0,-0.032287145721511
1919,17154,0.00107421875,0.0017578125,1,0,62.6328261629941,0.310364929462516,-0.0109552820027078,0.0092791287657307,0.00000800001726020128,0,-0.0109553348430557
1818,114949,0.00107421875,0.0017578125,0,0,56.8930974159914,0.260337339750564,-0.0220379634788123,0.00381978479905699,0.00000799994450062513,0,-0.0220381559735543
1819,1304159,0.00107421875,0.0017578125,0,0,60.8974704521653,0.297106311378527,-0.0220796535819313,0.00108082013324723,0.00000800006091594696,0,-0.0220798065584802
1919,4047661,0.00107421875,0.0017578125,0,0,64.4951071822145,0.340179999078398,0.000921858933294651,0.000587394871667217,0.00000799447298049927,0,0.000929754458030096
1718,4,0.0017578125,0.0021484375,1,0,70.25,0.5,0,0.555359771985357,0.00000799999800094042,0,-1.11022302462516e-16
1719,78,0.0017578125,0.0021484375,1,0,69.4551282051282,0.384615384615385,0.127314945304525,0.128035973494267,0.00000800148637836173,0,0.127321708461408
1818,3174,0.0017578125,0.0021484375,1,0,49.7971014492754,0.196912413358538,-0.0503595482727329,0.0259784507762561,0.00000800017733126879,0,-0.0503607385101997
1819,31437,0.0017578125,0.0021484375,1,0,61.0478275406391,0.287920520944451,-0.0335561490625713,0.00704268075819734,0.00000800000270828605,0,-0.0335564447095158
1919,88521,0.0017578125,0.0021484375,1,0,66.3311959414035,0.349737580999622,0.00237969004634855,0.00394215929643146,0.00000799994450062513,0,0.00238270529511465
,145,0.0017578125,0.0021484375,1,0,62.6620689655173,0.344827586206897,,,,,
1718,692,0.0017578125,0.0021484375,0,0,62.2722664735699,0.312092686459088,-0.0829807961537183,0.046171777169915,0.00000800034285930451,0,-0.0829832840937901
1719,7967,0.0017578125,0.0021484375,0,0,66.8220158152379,0.356663109660411,0.0200583029450008,0.0130642141912995,0.00000799999543232843,0,0.0200539607149306
1818,2195587,0.0017578125,0.0021484375,0,0,56.4577501704817,0.244008989706513,-0.00264289640090498,0.00089567786652144,0.00000800006091594696,0,-0.00264293804842922
1819,15157998,0.0017578125,0.0021484375,0,0,60.4217220132714,0.287979391936304,-0.0261312860674805,0.000320514322741198,0.0000082850456237793,0,-0.0261312885466557
1919,21938891,0.0017578125,0.0021484375,0,0,64.9101834184355,0.342597181396642,0.00280510359532535,0.000251830951246566,0.00000798702239990234,0,0.00280782782859538
,31964,0.0017578125,0.0021484375,0,0,66.205512451508,0.355675269356051,,,,,
1719,6,0.0021484375,0.003515625,1,0,59.25,0.166666666666667,-0.90016266380369,5.48700522450179,0.0000128957533327423,0,-0.975737919592395
1818,1585,0.0021484375,0.003515625,1,0,53.6204472843451,0.182747603833866,-0.0230523705899522,0.0384640069150873,0.00000799999907030724,0,-0.0230525768197813
1819,27628,0.0021484375,0.003515625,1,0,59.6355910705226,0.27373704428499,-0.0133728631716383,0.00764725517654411,0.00000800000270828605,0,-0.0133729103225341
1919,42219,0.0021484375,0.003515625,1,0,63.9461514771031,0.314257611130204,-0.00868151437153895,0.00589437662134308,0.0000080000318121165,0,-0.00868151007407501
1718,7,0.0021484375,0.003515625,0,0,64.3571428571429,0.142857142857143,-0.970227532627987,Inf,0.00000599999889772107,0,-0.974616916188223
1719,475,0.0021484375,0.003515625,0,0,62.0673684210526,0.182105263157895,-0.390200914903961,0.0696133209371019,0.00000799999997980194,0,-0.390185399058962
1818,331572,0.0021484375,0.003515625,0,0,56.5529908555503,0.242715852183772,-0.00151458305097344,0.00231033111736135,0.00000799982808530331,0,-0.00151864948258192
1819,3969258,0.0021484375,0.003515625,0,0,60.2372044818584,0.28900923951061,-0.0238429341029418,0.000625625523009072,0.00000799819827079773,0,-0.0238430908123329
1919,6573012,0.0021484375,0.003515625,0,0,64.0779053510192,0.332151267319938,-0.000422758225742959,0.000464188190269556,0.00000799447298049927,0,-0.000409887421267526
,402,0.0021484375,0.003515625,0,0,68.2412935323383,0.325870646766169,,,,,
1718,66,0.003515625,0.004296875,1,0,62.6515151515152,0.227272727272727,-0.953859230620974,3.20996075037083,0.00000859609463077504,0,-0.981056626010896
1719,987,0.003515625,0.004296875,1,0,63.1919959473151,0.221884498480243,-0.241390382302796,0.0437779671611493,0.00000819385422801133,0,-0.241412874479628
1818,15855,0.003515625,0.004296875,1,0,55.575461557916,0.220789074355083,0.025715421509404,0.0109643990717621,0.00000800000270828605,0,0.0257153849470203
1819,165520,0.003515625,0.004296875,1,0,61.2814921689262,0.292384570709515,-0.0256806435576074,0.00305324704872195,0.00000800006091594696,0,-0.0256808133744186
1919,247382,0.003515625,0.004296875,1,0,64.7999082138496,0.339972258056689,0.00363629847652986,0.00237691943675375,0.00000799982808530331,0,0.00363713831325303
,703,0.003515625,0.004296875,1,0,67.6088193456615,0.382645803698435,,,,,
