n_pairs,unique_n,addRel_min,addRel_max,addRel_emp_min,addRel_emp_mean,addRel_emp_median,addRel_emp_max,mtdna,cnu,Has_Dementia_phi_both,Has_Dementia_phi_none,Has_Dementia_phi_one,Has_Dementia_phi_est,Has_Dementia_phi_se,Has_Dementia_phi_LL,Has_Dementia_phi_UL,AZ_Broadest_phi_both,AZ_Broadest_phi_none,AZ_Broadest_phi_one,AZ_Broadest_phi_est,AZ_Broadest_phi_se,AZ_Broadest_phi_LL,AZ_Broadest_phi_UL,AZ_Broad_phi_both,AZ_Broad_phi_none,AZ_Broad_phi_one,AZ_Broad_phi_est,AZ_Broad_phi_se,AZ_Broad_phi_LL,AZ_Broad_phi_UL,AZ_MoreForgiving_phi_both,AZ_MoreForgiving_phi_none,AZ_MoreForgiving_phi_one,AZ_MoreForgiving_phi_est,AZ_MoreForgiving_phi_se,AZ_MoreForgiving_phi_LL,AZ_MoreForgiving_phi_UL,AZ_Moststrict_phi_both,AZ_Moststrict_phi_none,AZ_Moststrict_phi_one,AZ_Moststrict_phi_est,AZ_Moststrict_phi_se,AZ_Moststrict_phi_LL,AZ_Moststrict_phi_UL
2909858,243608,0.028125,0.034375,0.03125,0.03125,0.03125,0.03125,0,0,668290,2529924,2621502,-0.305748104266505,0.000310227986381424,-0.306356015187268,-0.305139943957883,668290,2529924,2621502,-0.305748104266505,0.000310227986381424,-0.306356015187268,-0.305139943957883,609924,2646222,2563570,-0.299874419185615,0.000308461367388515,-0.300478871854438,-0.299269725642915,111300,4312902,1395514,-0.170601607155491,0.000270018454383759,-0.171130784338824,-0.170072331542994,20278,5150194,649244,-0.0816621886255396,0.000239229751156053,-0.0821310522137451,-0.0811932888894073
22365,13783,0.034375,0.05625,0.03515625,0.0447783925776884,0.046875,0.0546875,1,0,7106,16996,20628,-0.292047261167845,0.00365720397566743,-0.299198736072976,-0.284862978281236,7106,16996,20628,-0.292047261167845,0.00365720397566743,-0.299198736072976,-0.284862978281236,6594,17720,20416,-0.291215375483072,0.0036405617947235,-0.298334437543918,-0.284063913127881,1264,31432,12034,-0.181808187039141,0.00324541649355339,-0.188161396422432,-0.175439762848417,226,38564,5940,-0.0968185375677034,0.00278959073015413,-0.102283059399385,-0.0913481725839963
260329,78277,0.034375,0.05625,0.03515625,0.046208220535361,0.046875,0.0546875,0,0,90998,184978,244682,-0.298392634384862,0.00107454446677504,-0.300497247203528,-0.29628511579418,90998,184978,244682,-0.298392634384862,0.00107454446677504,-0.300497247203528,-0.29628511579418,83860,195268,241530,-0.295234325125671,0.00107115480314149,-0.297332321708743,-0.293133477504077,15872,359856,144930,-0.188406526189603,0.000955260765927155,-0.190278116036416,-0.186533566844815,2952,446612,71094,-0.0974579358545871,0.000836989644884567,-0.0990981391693213,-0.0958172029648972
70910,64739,0.05625,0.06875,0.05859375,0.0625020933225215,0.0625,0.06640625,1,0,7878,69132,64810,-0.375485125266684,0.00173583816020581,-0.378882235807749,-0.372077895783498,7878,69132,64810,-0.375485125266684,0.00173583816020581,-0.378882235807749,-0.372077895783498,7096,71798,62926,-0.365733845196282,0.00171761878824271,-0.369095521102937,-0.362362599469199,1248,110874,29698,-0.170937087523151,0.00146985456858863,-0.173816480462943,-0.168054771859913,216,128708,12896,-0.0745974142776531,0.00128389659521517,-0.077113325073904,-0.0720805534636783
162117,104767,0.05625,0.06875,0.05859375,0.0625036383830814,0.0625,0.06640625,0,0,17388,157696,149150,-0.38166584432673,0.00113740589080669,-0.383892895908415,-0.379434352441898,17388,157696,149150,-0.38166584432673,0.00113740589080669,-0.383892895908415,-0.379434352441898,15506,164184,144544,-0.371309841202597,0.00112381621389263,-0.373510388162637,-0.369105115174239,2636,253314,68284,-0.175158550367557,0.000947690165263594,-0.177015363459137,-0.173300490402716,460,294792,28982,-0.0738891168117144,0.000835866271797339,-0.0755271837419326,-0.0722506510797533
334350,150886,0.06875,0.1125,0.0703125,0.0948876201024376,0.09375,0.109375,1,0,106312,263680,298708,-0.268656397587982,0.000956886651725118,-0.270530840492396,-0.266779917745512,106312,263680,298708,-0.268656397587982,0.000956886651725118,-0.270530840492396,-0.266779917745512,98390,276416,293894,-0.264510058887601,0.000954170368708197,-0.266379201758361,-0.262638926625848,19894,472974,175832,-0.169366499670673,0.000859606776482345,-0.171050801497923,-0.16768120794091,4126,576890,87684,-0.0869995218880531,0.000781405547968766,-0.0885308418114011,-0.0854677907250514
980217,214060,0.06875,0.1125,0.0703125,0.0948065302440684,0.09375,0.109375,0,0,309946,777192,873296,-0.267167398592415,0.000559073515715065,-0.268262816703704,-0.266071289592018,309946,777192,873296,-0.267167398592415,0.000559073515715065,-0.268262816703704,-0.266071289592018,285416,815688,859330,-0.263700397766627,0.000557102497183981,-0.264791960307971,-0.262608159440937,56986,1391564,511884,-0.168750574976158,0.000500669407722381,-0.16973170141903,-0.167769114014839,11638,1695344,253452,-0.086153614669623,0.000454320183091289,-0.0870439968100889,-0.0852630948845937
8866,7289,0.1125,0.1375,0.11328125,0.123154378383713,0.125,0.13671875,1,0,2712,7334,7686,-0.25089832137646,0.00591310184030182,-0.262451348526551,-0.239273373880812,2712,7334,7686,-0.25089832137646,0.00591310184030182,-0.262451348526551,-0.239273373880812,2470,7740,7522,-0.245660320682178,0.00589322932607505,-0.257175485104764,-0.234075403482288,494,12816,4422,-0.15603807736064,0.0053209713160342,-0.166449228043382,-0.145592140097425,78,15522,2132,-0.0854717144589795,0.00449453695725127,-0.0942739377297947,-0.0766561289163414
18912,13822,0.1125,0.1375,0.11328125,0.122501792843168,0.125,0.13671875,0,0,5114,16784,15926,-0.243823908224482,0.00403062642836523,-0.251707460511125,-0.235908000512289,5114,16784,15926,-0.243823908224482,0.00403062642836523,-0.251707460511125,-0.235908000512289,4698,17590,15536,-0.236813708756854,0.00402086992565379,-0.244678735897755,-0.228917520017267,860,28378,8586,-0.141236228195591,0.00361292788361721,-0.148310094893361,-0.134147909531287,178,33592,4054,-0.0656269122148456,0.0034189362901599,-0.0723248448270445,-0.0589230605577409
237113,172585,0.1375,0.225,0.140625,0.189582950033317,0.1875,0.22265625,1,0,48976,215890,209360,-0.302739604285498,0.00107718911447906,-0.304849367820217,-0.300626869595393,48976,215890,209360,-0.302739604285498,0.00107718911447906,-0.304849367820217,-0.300626869595393,45044,225282,203900,-0.294149530241011,0.00107297373317613,-0.296251093251886,-0.292045119006966,8432,358898,106896,-0.156378799649144,0.00095477641173094,-0.158249563558936,-0.154506913052124,1586,422874,49766,-0.0744087965673589,0.000860622968854407,-0.0760953721090849,-0.0727217952441956
208530,162174,0.1375,0.225,0.140625,0.18972774076272,0.1875,0.22265625,0,0,37102,197182,182776,-0.312303613548679,0.00112348726960448,-0.314503927100901,-0.310099944112307,37102,197182,182776,-0.312303613548679,0.00112348726960448,-0.314503927100901,-0.310099944112307,33706,205626,177728,-0.304197088915186,0.0011160064809523,-0.306382814551172,-0.30200815565303,5998,320122,90940,-0.159357233380707,0.000972711990923982,-0.161263117302465,-0.157450160856349,1014,374376,41670,-0.076401220020908,0.000840356886475957,-0.0780480792913836,-0.0747539437891992
8427,10053,0.225,0.275,0.2265625,0.245931974605435,0.25,0.265625,1,0,1384,8116,7354,-0.316983039848684,0.0055190739665988,-0.327758631419363,-0.306124987504473,1384,8116,7354,-0.316983039848684,0.0055190739665988,-0.327758631419363,-0.306124987504473,1228,8504,7122,-0.308712961891397,0.00546268536870454,-0.319380158123194,-0.297967538808864,254,12978,3622,-0.152661295336143,0.00494212898175151,-0.162332730292843,-0.142960531394285,52,15038,1764,-0.0763531402544379,0.00443491563255608,-0.085039395110856,-0.0676552805053851
